witness_id,micro_arrow_kl,macro_arrow_kl,cycle_rank,max_cycle_affinity,exactness_flag,closure_deficit,best_macro_gap,contraction_lambda,fixed_point_count,eps_stable_count,definable_predicate_count,interface_size,micro_arrow_kl_explanation,macro_arrow_kl_explanation,cycle_rank_explanation,max_cycle_affinity_explanation,exactness_flag_explanation,closure_deficit_explanation,best_macro_gap_explanation,contraction_lambda_explanation,fixed_point_count_explanation,eps_stable_count_explanation,definable_predicate_count_explanation,interface_size_explanation,kind,execution_status,representative_lens_id,micro_arrow_context,macro_arrow_context,closure_context,best_macro_gap_context,eps_grid_denominator,eps_epsilon,strongest_signal
rev_tree_4,,,0,0,True,,,,,,16,4,not_requested:no_registered_micro_arrow_context,not_requested:no_registered_macro_arrow_context,,,,not_requested:no_registered_closure_context,not_requested:no_registered_best_gap_context,not_applicable:no_packaging,not_applicable:no_packaging,not_applicable:no_packaging,,,markov_chain,success,identity,,,,,4,1/4,forest / no-cycle support
rev_cycle_3,,,1,0,True,,,,,,8,3,not_requested:no_registered_micro_arrow_context,not_requested:no_registered_macro_arrow_context,,,,not_requested:no_registered_closure_context,not_requested:no_registered_best_gap_context,not_applicable:no_packaging,not_applicable:no_packaging,not_applicable:no_packaging,,,markov_chain,success,identity,,,,,4,1/4,cyclic support with exact one-form
biased_cycle_3,,,1,7,False,,,,,,8,3,not_requested:no_registered_micro_arrow_context,not_requested:no_registered_macro_arrow_context,,,,not_requested:no_registered_closure_context,not_requested:no_registered_best_gap_context,not_applicable:no_packaging,not_applicable:no_packaging,not_applicable:no_packaging,,,markov_chain,success,identity,,,,,4,1/4,nonzero cycle affinity on support
hidden_clock_reversible,0,0,1,0,True,,,,,,8,3,,,,,,not_requested:no_registered_closure_context,not_requested:no_registered_best_gap_context,not_applicable:no_packaging,not_applicable:no_packaging,not_applicable:no_packaging,,,phase_lift_markov,success,observe_clock_3,"{""horizon"":""3""}","{""horizon"":""3"",""lens_id"":""observe_clock_3""}",,,4,1/4,cyclic support with exact one-form
hidden_clock_driven,0.69314718055994530941723212145817656807550013436025525412068000949339362196969471,0.68031112166068706294654263772746959459262050224247274941474149079907151785914482,1,15,False,,,,,,8,3,,,,,,not_requested:no_registered_closure_context,not_requested:no_registered_best_gap_context,not_applicable:no_packaging,not_applicable:no_packaging,not_applicable:no_packaging,,,phase_lift_markov,success,observe_clock_3,"{""horizon"":""3""}","{""horizon"":""3"",""lens_id"":""observe_clock_3""}",,,4,1/4,nonzero cycle affinity on support
zero_closure_deficit_lumpable,,,1,0,True,0,0,,,,4,2,not_requested:no_registered_micro_arrow_context,not_requested:no_registered_macro_arrow_context,,,,,,not_applicable:no_packaging,not_applicable:no_packaging,not_applicable:no_packaging,,,markov_chain,success,macro_AB,,,"{""lens_id"":""macro_AB"",""tau"":""1""}","{""lens_id"":""macro_AB"",""tau"":""1""}",4,1/4,idempotent bounded-interface saturation
positive_closure_deficit,,,1,0,True,0.10464962875290956730336144498697416832809422720544546774427259258778167835540961,0.10464962875290956730336144498697416832809422720544546774427259258778167835540961,,,,4,2,not_requested:no_registered_micro_arrow_context,not_requested:no_registered_macro_arrow_context,,,,,,not_applicable:no_packaging,not_applicable:no_packaging,not_applicable:no_packaging,,,markov_chain,success,macro_AB,,,"{""lens_id"":""macro_AB"",""tau"":""1""}","{""lens_id"":""macro_AB"",""tau"":""1""}",4,1/4,positive closure deficit / best-gap obstruction
contractive_unique_object,,,,,,,,0,1,3,4,2,not_requested:no_registered_micro_arrow_context,not_requested:no_registered_macro_arrow_context,not_applicable:no_chain,not_applicable:no_chain,not_applicable:no_chain,not_requested:no_registered_closure_context,not_requested:no_registered_best_gap_context,,,,,,packaging_endomap,success,identity,,,,,4,1/4,strict contraction with unique fixed distribution
noncontractive_multiobject,,,,,,,,1,2,9,8,3,not_requested:no_registered_micro_arrow_context,not_requested:no_registered_macro_arrow_context,not_applicable:no_chain,not_applicable:no_chain,not_applicable:no_chain,not_requested:no_registered_closure_context,not_requested:no_registered_best_gap_context,,,,,,packaging_endomap,success,identity,,,,,4,1/4,baseline executable witness with satisfied audits
fixed_idempotent_no_ladder,,,,,,,,1,2,9,4,2,not_requested:no_registered_micro_arrow_context,not_requested:no_registered_macro_arrow_context,not_applicable:no_chain,not_applicable:no_chain,not_applicable:no_chain,not_requested:no_registered_closure_context,not_requested:no_registered_best_gap_context,,,,,,packaging_endomap,success,base_binary,,,,,4,1/4,idempotent bounded-interface saturation
lens_extension_escape,,,,,,,,1,2,9,8,3,not_requested:no_registered_micro_arrow_context,not_requested:no_registered_macro_arrow_context,not_applicable:no_chain,not_applicable:no_chain,not_applicable:no_chain,not_requested:no_registered_closure_context,not_requested:no_registered_best_gap_context,,,,,,extension_witness,success,extended_ternary,,,,,4,1/4,lens extension raises interface and definable capacity
